#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=10 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=900 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=81 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:89 out:89 type:P dur:2 cpbdur:2 q:56.85 aq:50.89 tex:13643 mv:12872 misc:4981 imb:559 pmb:1118 smb:6483 d:- ref:0 ;
in:90 out:90 type:P dur:2 cpbdur:2 q:57.10 aq:50.92 tex:12848 mv:11931 misc:4957 imb:481 pmb:1125 smb:6554 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:57.33 aq:52.97 tex:24505 mv:14840 misc:4791 imb:781 pmb:1415 smb:5964 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:57.64 aq:49.74 tex:34719 mv:19308 misc:4773 imb:1719 pmb:1102 smb:5339 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:57.72 aq:51.56 tex:41565 mv:22702 misc:4789 imb:1191 pmb:1680 smb:5289 d:- ref:0 ;
in:96 out:94 type:P dur:2 cpbdur:2 q:58.03 aq:51.96 tex:34402 mv:23502 misc:4928 imb:1166 pmb:1929 smb:5065 d:- ref:0 ;
in:94 out:95 type:B dur:2 cpbdur:2 q:57.83 aq:56.28 tex:3130 mv:9311 misc:3991 imb:152 pmb:1017 smb:6991 d:- ref:0 ;
in:95 out:96 type:b dur:2 cpbdur:2 q:57.93 aq:57.32 tex:1887 mv:7337 misc:3568 imb:97 pmb:899 smb:7164 d:- ref:0 ;
in:98 out:97 type:P dur:2 cpbdur:2 q:58.41 aq:55.18 tex:10539 mv:13071 misc:4974 imb:538 pmb:1212 smb:6410 d:- ref:0 w:0,1,-1,5,31,4,32,0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:58.22 aq:55.43 tex:1764 mv:7832 misc:3628 imb:159 pmb:838 smb:7163 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:58.45 aq:54.17 tex:9321 mv:9460 misc:4315 imb:460 pmb:902 smb:6798 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:58.57 aq:53.59 tex:9896 mv:9893 misc:4099 imb:514 pmb:756 smb:6890 d:- ref:0 ;
in:102 out:101 type:P dur:2 cpbdur:2 q:58.77 aq:53.46 tex:13169 mv:11776 misc:4415 imb:603 pmb:948 smb:6609 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:58.67 aq:56.58 tex:1468 mv:4958 misc:2878 imb:65 pmb:597 smb:7498 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:58.77 aq:53.31 tex:6700 mv:6310 misc:3454 imb:340 pmb:544 smb:7276 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:58.85 aq:52.59 tex:12629 mv:10561 misc:4234 imb:492 pmb:962 smb:6706 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:58.94 aq:53.39 tex:11520 mv:10651 misc:4181 imb:496 pmb:876 smb:6788 d:- ref:0 w:0,1,-1,7,125,3,124,4 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:58.98 aq:53.70 tex:13609 mv:12268 misc:4163 imb:596 pmb:1056 smb:6508 d:- ref:0 ;
in:108 out:107 type:P dur:2 cpbdur:2 q:58.99 aq:51.87 tex:13301 mv:11785 misc:4114 imb:633 pmb:853 smb:6674 d:- ref:0 ;
in:107 out:108 type:b dur:2 cpbdur:2 q:58.98 aq:57.81 tex:1053 mv:3987 misc:2400 imb:46 pmb:535 smb:7579 d:- ref:0 ;
in:111 out:109 type:P dur:2 cpbdur:2 q:58.96 aq:51.68 tex:72565 mv:24299 misc:3848 imb:1978 pmb:1342 smb:4840 d:- ref:0 ;
in:109 out:110 type:B dur:2 cpbdur:2 q:58.98 aq:56.26 tex:2137 mv:6962 misc:3109 imb:173 pmb:663 smb:7324 d:- ref:0 ;
in:110 out:111 type:b dur:2 cpbdur:2 q:58.97 aq:55.11 tex:1411 mv:5470 misc:3047 imb:94 pmb:706 smb:7360 d:- ref:0 ;
in:115 out:112 type:P dur:2 cpbdur:2 q:58.83 aq:48.68 tex:12259 mv:12525 misc:5184 imb:1152 pmb:837 smb:6171 d:- ref:0 ;
in:113 out:113 type:B dur:2 cpbdur:2 q:58.90 aq:52.86 tex:2502 mv:4974 misc:2772 imb:122 pmb:504 smb:7534 d:- ref:0 ;
in:112 out:114 type:b dur:2 cpbdur:2 q:58.93 aq:53.20 tex:763 mv:4609 misc:2748 imb:55 pmb:532 smb:7573 d:- ref:0 ;
in:114 out:115 type:b dur:2 cpbdur:2 q:58.86 aq:55.17 tex:573 mv:2669 misc:1646 imb:32 pmb:298 smb:7830 d:- ref:0 ;
in:117 out:116 type:P dur:2 cpbdur:2 q:58.71 aq:50.23 tex:5172 mv:7246 misc:3646 imb:311 pmb:564 smb:7285 d:- ref:0 ;
in:116 out:117 type:b dur:2 cpbdur:2 q:58.77 aq:56.58 tex:716 mv:3752 misc:2316 imb:58 pmb:466 smb:7636 d:- ref:0 ;
in:121 out:118 type:P dur:2 cpbdur:2 q:58.89 aq:51.11 tex:100871 mv:23353 misc:2896 imb:2868 pmb:1000 smb:4292 d:- ref:0 ;
in:119 out:119 type:B dur:2 cpbdur:2 q:58.80 aq:48.86 tex:1535 mv:7384 misc:3465 imb:115 pmb:721 smb:7324 d:- ref:0 ;
in:118 out:120 type:b dur:2 cpbdur:2 q:58.75 aq:60.70 tex:3018 mv:6831 misc:3511 imb:40 pmb:950 smb:7170 d:- ref:0 ;
in:120 out:121 type:b dur:2 cpbdur:2 q:58.84 aq:60.25 tex:648 mv:3586 misc:2014 imb:18 pmb:373 smb:7769 d:- ref:0 ;
in:125 out:122 type:P dur:2 cpbdur:2 q:58.77 aq:49.44 tex:12243 mv:12497 misc:4836 imb:573 pmb:1012 smb:6575 d:- ref:0 ;
in:123 out:123 type:B dur:2 cpbdur:2 q:58.83 aq:51.86 tex:1647 mv:5476 misc:2773 imb:61 pmb:567 smb:7532 d:- ref:0 ;
in:122 out:124 type:b dur:2 cpbdur:2 q:58.86 aq:53.79 tex:270 mv:2423 misc:1691 imb:11 pmb:274 smb:7875 d:- ref:0 ;
in:124 out:125 type:b dur:2 cpbdur:2 q:58.80 aq:55.86 tex:532 mv:3342 misc:2126 imb:58 pmb:419 smb:7683 d:- ref:0 ;
in:129 out:126 type:P dur:2 cpbdur:2 q:58.42 aq:50.72 tex:8470 mv:11426 misc:4416 imb:412 pmb:1038 smb:6710 d:- ref:0 ;
in:127 out:127 type:B dur:2 cpbdur:2 q:58.60 aq:50.24 tex:1880 mv:6144 misc:3168 imb:71 pmb:655 smb:7434 d:- ref:0 ;
in:126 out:128 type:b dur:2 cpbdur:2 q:58.68 aq:58.36 tex:654 mv:2922 misc:1832 imb:19 pmb:311 smb:7830 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:58.51 aq:56.64 tex:536 mv:3666 misc:2142 imb:20 pmb:405 smb:7735 d:- ref:0 ;
in:131 out:130 type:P dur:2 cpbdur:2 q:58.16 aq:49.51 tex:7278 mv:11489 misc:4529 imb:492 pmb:1039 smb:6629 d:- ref:0 ;
in:130 out:131 type:b dur:2 cpbdur:2 q:58.29 aq:58.05 tex:595 mv:4160 misc:2397 imb:19 pmb:480 smb:7661 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:58.04 aq:49.47 tex:6107 mv:7243 misc:3634 imb:316 pmb:624 smb:7220 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:58.36 aq:49.99 tex:6530 mv:6871 misc:3559 imb:284 pmb:626 smb:7250 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:58.31 aq:51.05 tex:6248 mv:7447 misc:3577 imb:322 pmb:652 smb:7186 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:58.24 aq:50.72 tex:5466 mv:7283 misc:3395 imb:262 pmb:698 smb:7200 d:- ref:0 ;
in:137 out:136 type:P dur:2 cpbdur:2 q:58.27 aq:49.87 tex:5511 mv:9607 misc:3986 imb:359 pmb:840 smb:6961 d:- ref:0 ;
in:136 out:137 type:b dur:2 cpbdur:2 q:58.26 aq:53.40 tex:487 mv:3570 misc:2015 imb:32 pmb:377 smb:7751 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:58.12 aq:50.49 tex:4310 mv:7335 misc:3563 imb:276 pmb:666 smb:7218 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:58.05 aq:48.97 tex:4658 mv:6474 misc:3628 imb:343 pmb:531 smb:7286 d:- ref:0 ;
in:141 out:140 type:P dur:2 cpbdur:2 q:57.99 aq:48.97 tex:4282 mv:7269 misc:3497 imb:295 pmb:609 smb:7256 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:58.02 aq:52.71 tex:423 mv:3626 misc:2223 imb:35 pmb:446 smb:7679 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:58.24 aq:49.42 tex:3146 mv:4439 misc:2775 imb:193 pmb:421 smb:7546 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:58.17 aq:46.64 tex:3042 mv:4331 misc:2651 imb:247 pmb:336 smb:7577 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:58.15 aq:51.01 tex:3588 mv:5182 misc:2790 imb:202 pmb:504 smb:7454 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:58.06 aq:49.80 tex:3354 mv:5451 misc:3067 imb:225 pmb:515 smb:7420 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:58.08 aq:48.80 tex:3948 mv:6716 misc:3480 imb:373 pmb:525 smb:7262 d:- ref:0 ;
in:148 out:147 type:P dur:2 cpbdur:2 q:58.04 aq:48.50 tex:3538 mv:6055 misc:3071 imb:379 pmb:410 smb:7371 d:- ref:0 ;
